city,state,lat,lon,score,currCity,currState,currLat,currLon
Galloway,NJ,39.492824,-74.559688,11,Brigantine,NJ,39.410117,-74.364591
Bryan,TX,30.674364,-96.369963,10,Bryan,TX,30.674364,-96.369963
Westland,MI,42.324204,-83.400211,15,Canton,MI,42.308644,-83.482116
Washington,DC,38.907192,-77.036871,12,Lynchburg,SC,34.060157,-80.07146
Whiteland,IN,39.550049,-86.079708,12,Paragon,IN,39.395047,-86.562499
St. Paul,MN,44.953703,-93.080689,3,Rosemount,MN,44.73941,-93.125772
Pittsburgh,PA,40.440625,-79.995886,3.5,Pittsburgh,PA,40.440625,-79.995886
Juneau,AK,58.301944,-134.419722,8,Tucson,AZ,32.221474,-110.93521
Brandon,FL,27.937801,-82.285925,4,Brandon,FL,27.937801,-82.285925
Visalia,CA,36.330228,-119.292058,3,Visalia,CA,36.330228,-119.292058
Elyria,OH,41.36838,-82.107649,3,Elyria,OH,41.36838,-82.107649
Marysville,WA,48.051764,-122.177082,12,Marysville,WA,48.051764,-122.177082
Detroit,MI,42.329945,-83.040923,12,Chicago,IL,41.878056,-87.636684
New Ipswich,NH,42.736231,-71.88085,9,Hendersonville,NC,35.318728,-82.460953
Birmingham,AL,33.523271,-86.809705,13.5,Orange City,FL,28.948876,-81.298674
San Diego,CA,32.715738,-117.155081,14,San Diego,CA,32.715738,-117.155081
Randolph,VT,43.924745,-72.665695,11,Converse,TX,29.518008,-98.316124
Haverhill,MA,42.776201,-71.07728,9,Haverhill,MA,42.776201,-71.07728
Grand Rapids,MI,42.96336,-85.668086,8,Grand Rapids,MI,42.96336,-85.668086
Jonesborough,TN,36.294272,-82.473479,9,Johnson City,TN,36.31344,-82.353473
Rochester,NY,43.16103,-77.610922,11,Rochester,NY,43.16103,-77.610922
Knoxville,TN,35.960638,-83.920739,12,Puyallup,WA,47.185378,-122.292897
Las Vegas,NV,36.169941,-115.13983,12,Spring Hill, FL,28.483168,-82.536987
Los Angeles,CA,34.054539,-118.249873,7.83,Los Angeles,CA,34.054539,-118.249873
Lakeland,FL,28.039465,-81.949804,7,Lakeland,FL,28.039465,-81.949804
Los Angeles,CA,34.050148,-118.250452,7.83,Las Vegas,NV,36.172798,-115.145634
Dallas,TX,32.776554,-96.803488,11,Dallas,TX,32.776554,-96.803488
Statesboro,GA,32.448788,-81.783167,11,Monroe,LA,32.509311,-92.119301
